ONTOLOGIES,version,,,,,,,,,
BFO,"""1.0""",http://purl.obolibrary.org/bfo.owl,,,,,,,,
IAO: information artefact ontology,,http://purl.obolibrary.org/obo/iao.owl,,,,,,,,
OBI: ontology of biological investigation,,http://purl.obolibrary.org/obo/obi.owl,,,,,,,,
,,,,,,,,,,
MAPPINGS,OBO Term Label,URI,OBO Property Label,URI ,OBO Term Label,URI,,,,
Study,investigation,http://purl.obolibrary.org/obo/OBI_0000066,,,,,,,,
Study Identifier,CRID symbol,http://purl.obolibrary.org/obo/IAO_0000577,denotes,http://purl.obolibrary.org/obo/IAO_0000219,investigation,Study,,,,
Study Title,investigation title,http://purl.obolibrary.org/obo/OBI_0001622,denotes,http://purl.obolibrary.org/obo/IAO_0000219,investigation,Study,,,,
Study Description,investigation description,http://purl.obolibrary.org/obo/OBI_0001615,denotes,http://purl.obolibrary.org/obo/IAO_0000219,investigation,Study,,,,
Study Submission Date,,,is_about,http://purl.obolibrary.org/obo/IAO_0000136,planned process,,,,,
Study Public Release Date,,,,,,,,,,
Study File,information content entity,http://purl.obolibrary.org/obo/IAO_0000030,denotes,http://purl.obolibrary.org/obo/IAO_0000219,investigation,Study,,,,
Study File Name,written name,http://purl.obolibrary.org/obo/IAO_0000590,denotes,http://purl.obolibrary.org/obo/IAO_0000219,investigation content entity,Study File,,,,
,,,,,,,,,,
Publication,publication,http://purl.obolibrary.org/obo/IAO_0000311,denotes,http://purl.obolibrary.org/obo/IAO_0000219,investigation,Study,,,,
Study PubMed ID,PubMed ID,http://purl.obolibrary.org/obo/OBI_0001617,denotes,http://purl.obolibrary.org/obo/IAO_0000219,publication,Publication,,,,
Study Publication DOI,CRID symbol,http://purl.obolibrary.org/obo/IAO_0000577,denotes,http://purl.obolibrary.org/obo/IAO_0000219,publication,Publication,,,,
Study Publication Author List,author list,http://purl.obolibrary.org/obo/IAO_0000321,is_part_of,http://purl.obolibrary.org/obo/BFO_0000050,publication,Publication,,,,
Study Publication Title,document title,http://purl.obolibrary.org/obo/IAO_0000305,denotes,http://purl.obolibrary.org/obo/IAO_0000219,publication,Publication,,,,
Study Publication Status,,,,,,,,,,
,,,,,,,,,,
Study Person,Homo Sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,has role,http://purl.obolibrary.org/obo/BFO_0000087,role(http://purl.obolibrary.org/obo/BFO_0000023),Study Person Roles,is member of organization,http://purl.obolibrary.org/obo/OBI_0000846,affiliation,Study Person Affiliation
Study Person Full Name,written name,http://purl.obolibrary.org/obo/IAO_0000590,denotes,http://purl.obolibrary.org/obo/IAO_0000219,Home Sapiens,Study Person,,,,
Study Person Last Name,written name,http://purl.obolibrary.org/obo/IAO_0000590,denotes,http://purl.obolibrary.org/obo/IAO_0000219,Homo Sapiens,Study Person,,,,
Study Person First Name,written name,http://purl.obolibrary.org/obo/IAO_0000590,denotes,http://purl.obolibrary.org/obo/IAO_0000219,Homo Sapiens,Study Person,,,,
Study Person Mid Initials,written name,http://purl.obolibrary.org/obo/IAO_0000590,denotes,http://purl.obolibrary.org/obo/IAO_0000219,Homo Sapiens,Study Person,,,,
Study Person Email,email address,http://purl.obolibrary.org/obo/IAO_0000429,denotes,http://purl.obolibrary.org/obo/IAO_0000219,Homo Sapiens,Study Person,,,,
Study Person Phone,information content entity,http://purl.obolibrary.org/obo/IAO_0000030,denotes,http://purl.obolibrary.org/obo/IAO_0000219,Homo Sapiens,Study Person,,,,
Study Person Fax,information content entity,http://purl.obolibrary.org/obo/IAO_0000030,denotes,http://purl.obolibrary.org/obo/IAO_0000219,Homo Sapiens,Study Person,,,,
Study Person Address,information content entity(http://purl.obolibrary.org/obo/IAO_0000030),http://purl.obolibrary.org/obo/IAO_0000030,denotes,http://purl.obolibrary.org/obo/IAO_0000219,Homo Sapiens,Study Person,,,,
Study Person Affiliation,organization(http://purl.obolibrary.org/obo/OBI_0000245),http://purl.obolibrary.org/obo/OBI_0000245,,,,,,,,
Study Person Roles,investigation agent role(http://purl.obolibrary.org/obo/OBI_0000202),http://purl.obolibrary.org/obo/OBI_0000202,denotes,http://purl.obolibrary.org/obo/IAO_0000219,Homo Sapiens,Study Person,,,,
,,,,,,,,,,
Study Factor,independent variable specification(http://purl.obolibrary.org/obo/OBI_0000750),http://purl.obolibrary.org/obo/OBI_0000750,denotes,http://purl.obolibrary.org/obo/IAO_0000219,investigation,Study,,,,
Study Factor Name,written name,http://purl.obolibrary.org/obo/IAO_0000590,denotes,http://purl.obolibrary.org/obo/IAO_0000219,independent variable specification,Study Factor,,,,
Study Factor Type,,,,,,,,,,
,,,,,,,,,,
Study Design Execution,study design execution,http://purl.obolibrary.org/obo/OBI_0000471,,,,,,,,
Study Design Type,study design(http://purl.obolibrary.org/obo/OBI_0500000),http://purl.obolibrary.org/obo/OBI_0500000,is realized by,http://purl.obolibrary.org/obo/OBI_0000471,study design execution(http://purl.obolibrary.org/obo/OBI_0000471),http://purl.obolibrary.org/obo/OBI_0000471,,,,
,,,,,,,,,,
Study Assay,analyte assay(http://purl.obolibrary.org/obo/OBI_0000443),http://purl.obolibrary.org/obo/OBI_0000443,achives plan objective ,,assay measurement type,Study Assay Measurement Type,,,,
Study Assay Measurement,dependent variable specification,,,,,,,,,
Study Assay Measurement Type,analyte measurement objective(http://purl.obolibrary.org/obo/OBI_0000437),http://purl.obolibrary.org/obo/OBI_0000437,denotes,http://purl.obolibrary.org/obo/IAO_0000219,assay,Study Assay,,,,
Study Assay Technology Type,planned process,,is part of,,,,,,,
Study Assay Technology Platform,organization,http://purl.obolibrary.org/obo/OBI_0000245,has role,http://purl.obolibrary.org/obo/BFO_0000087,manufacturer role,,,,,
Study Assay File,information content entity,http://purl.obolibrary.org/obo/IAO_0000030,,,,,,,,
Study Assay File Name,written name,http://purl.obolibrary.org/obo/IAO_0000590,denotes,http://purl.obolibrary.org/obo/IAO_0000219,information content entity,Study Assay File,,,,
,,,,,,,,,,
Study Protocol,protocol(http://purl.obolibrary.org/obo/OBI_0000272),http://purl.obolibrary.org/obo/OBI_0000272,,,,,,,,
Study Protocol Name,written name,http://purl.obolibrary.org/obo/IAO_0000590,denotes,http://purl.obolibrary.org/obo/IAO_0000219,protocol,Study Protocol,,,,
Study Protocol Type,objective specification,http://purl.obolibrary.org/obo/IAO_0000005,denotes,http://purl.obolibrary.org/obo/IAO_0000219,protocol,Study Protocol,,,,
Study Protocol Description,textual entity,http://purl.obolibrary.org/obo/IAO_0000300,denotes,http://purl.obolibrary.org/obo/IAO_0000219,protocol,Study Protocol,,,,
Study Protocol URI,written name,http://purl.obolibrary.org/obo/IAO_0000590,denotes,http://purl.obolibrary.org/obo/IAO_0000219,protocol,Study Protocol,,,,
Study Protocol Version,version number,http://purl.obolibrary.org/obo/IAO_00000129,denotes,http://purl.obolibrary.org/obo/IAO_0000219,protocol,Study Protocol,,,,
Study Protocol Parameter,controlled variable specification(http://purl.obolibrary.org/obo/OBI_0000785),http://purl.obolibrary.org/obo/OBI_0000785,denotes,http://purl.obolibrary.org/obo/IAO_0000219,protocol,Study Protocol,,,,
Study Protocol Parameters Name,written name,http://purl.obolibrary.org/obo/IAO_0000590,denotes,http://purl.obolibrary.org/obo/IAO_0000219,controlled variable specification,Study Protocol Parameter,,,,
Study Protocol Component,,,,,,,,,,
Study Protocol Components Name,written name,http://purl.obolibrary.org/obo/IAO_0000590,denotes,http://purl.obolibrary.org/obo/IAO_0000219,device(http://purl.obolibrary.org/obo/OBI_0000968),http://purl.obolibrary.org/obo/OBI_0000968,,,,
Study Protocol Components Type,,,,,,,,,,
,,,,,,,,,,
Source,material entity,http://purl.obolibrary.org/obo/BFO_0000040,,,,,,,,
Source Name,written name,http://purl.obolibrary.org/obo/IAO_0000590,denotes,http://purl.obolibrary.org/obo/IAO_0000219,material entity(http://purl.obolibrary.org/obo/BFO_0000040),Source,,,,
,,,,,,,,,,
Sample,processed material,http://purl.obolibrary.org/obo/OBI_0000047,,,,,,,,
Extract,processed material,http://purl.obolibrary.org/obo/OBI_0000047,,,,,,,,
Labeled Extract,processed material,http://purl.obolibrary.org/obo/OBI_0000047,,,,,,,,
{Sample Name|Extract Name|Labeled Extract Name},written name,http://purl.obolibrary.org/obo/IAO_0000590,denotes,http://purl.obolibrary.org/obo/IAO_0000219,processed material,{Sample|Extract|Labeled Extract},,,,
Characteristics[],quality(http://purl.obolibrary.org/obo/BFO_0000019),http://purl.obolibrary.org/obo/BFO_0000019,,,,,,,,
,,,,,,,,,,
Protocol REF,material processing(http://purl.obolibrary.org/obo/OBI_0000094),http://purl.obolibrary.org/obo/OBI_0000094,chain(realizes o concretizes) = executes,http://isa-tools.org/isa/ISA0000001,plan specification,Study Protocol,,,
Protocol REF Input,,,is specified input of ,http://purl.obolibrary.org/obo/OBI_0000295,protocol,Protocol REF,,,,
Protocol REF Output,,,is specified output of ,http://purl.obolibrary.org/obo/OBI_0000312,protocol,Protocol REF,derives from,http://purl.obolibrary.org/obo/RO_0001000,input,Protocol REF Input
